date,country,CPI,GDP,IR,UE
1980-08-01,US,0.5,-0.0167384193806015,-0.869999999999999,-0.0999999999999996
1980-09-01,US,0.799999999999997,0.110380004043193,0.17,-0.2
1980-10-01,US,0.900000000000006,0.208411510052898,0.83,0
1980-11-01,US,0.900000000000006,0.26195586319821,0.470000000000001,0
1980-12-01,US,1,0.26631917347099,1.4,-0.3
1981-01-01,US,0.5,0.223835045785009,0.130000000000001,0.3
1981-02-01,US,0.5,0.146314647300997,0,-0.0999999999999996
1981-03-01,US,0.5,0.0581415674480041,0,0
1981-04-01,US,0.599999999999994,-0.0123019235120125,0,-0.2
1981-05-01,US,0.799999999999997,-0.0522889258749899,0.869999999999999,0.3
1981-06-01,US,0.799999999999997,-0.0737249350249982,0.130000000000001,0
1981-07-01,US,1.2,-0.110227514509006,0,-0.3
1981-08-01,US,0.900000000000006,-0.176867050057993,0,0.2
1981-09-01,US,1.09999999999999,-0.267742237133007,0,0.199999999999999
1981-10-01,US,0.299999999999997,-0.351688805592403,0,0.300000000000001
1981-11-01,US,0.400000000000006,-0.41139560203699,-0.970000000000001,0.4
1981-12-01,US,0.5,-0.437549847904208,-0.93,0.199999999999999
1982-01-01,US,0.299999999999997,-0.424559155268796,-0.0999999999999996,0.0999999999999996
1982-02-01,US,0.5,-0.3773565307703,0,0.300000000000001
1982-03-01,US,0.100000000000009,-0.31207766467071,0,0.0999999999999996
1982-04-01,US,0.799999999999997,-0.259372035781297,0,0.300000000000001
1982-05-01,US,0.700000000000003,-0.230315493111291,0,0.0999999999999996
1982-06-01,US,0.699999999999989,-0.22085865316231,0,0.199999999999999
1982-07-01,US,0.600000000000009,-0.214353295844901,-0.19,0.200000000000001
1982-08-01,US,0.399999999999991,-0.198483365507897,-1.13,0
1982-09-01,US,0.100000000000009,-0.165889103812503,-0.68,0.299999999999999
1982-10-01,US,0.299999999999997,-0.115451029546094,-0.32,0.300000000000001
1982-11-01,US,-0.200000000000003,-0.0467834631864008,-0.33,0.4
1982-12-01,US,-0.0999999999999943,0.0359100198982958,-0.619999999999999,0
1983-01-01,US,0.399999999999991,0.118592577413807,-0.23,-0.4
1983-02-01,US,0.400000000000006,0.195082689384094,0,0
1983-03-01,US,0.200000000000003,0.260604754004703,0,-0.0999999999999996
1983-04-01,US,0.399999999999991,0.305801434714198,0,-0.100000000000001
1983-05-01,US,0.300000000000011,0.330036626638801,0,-0.0999999999999996
1983-06-01,US,0.299999999999997,0.337773629621296,0,0
1983-07-01,US,0.599999999999994,0.336462800327709,0,-0.699999999999999
1983-08-01,US,0.299999999999997,0.331219349895093,0,0.0999999999999996
1983-09-01,US,0.400000000000006,0.324429142239708,0,-0.300000000000001
1983-10-01,US,0.5,0.315635320905201,0,-0.399999999999999
1983-11-01,US,0.5,0.30401350632539,0,-0.300000000000001
1983-12-01,US,0.299999999999997,0.288567542093404,0,-0.199999999999999
1984-01-01,US,0.700000000000003,0.268546921501397,0,-0.300000000000001
1984-02-01,US,0.299999999999997,0.242410896530004,0,-0.2
1984-03-01,US,0.400000000000006,0.208887911744,0,0
1984-04-01,US,0.5,0.168505164872997,0.369999999999999,-0.0999999999999996
1984-05-01,US,0.399999999999991,0.121911428624003,0.130000000000001,-0.3
1984-06-01,US,0.400000000000006,0.0724685386770005,0,-0.2
1984-07-01,US,0.5,0.0292906892599945,0,0.3
1984-08-01,US,0.400000000000006,-0.00414563142498992,0,0
1984-09-01,US,0.399999999999991,-0.027115507295008,0,-0.2
1984-10-01,US,0.400000000000006,-0.0394033544340005,0,0.100000000000001
1984-11-01,US,0.200000000000003,-0.0424537463569976,-0.17,-0.2
1984-12-01,US,0.399999999999991,-0.0385890569610012,-0.460000000000001,0.0999999999999996
1985-01-01,US,0.299999999999997,-0.0308824554959983,-0.369999999999999,0
1985-02-01,US,0.600000000000009,-0.020445067677997,0,-0.0999999999999996
1985-03-01,US,0.399999999999991,-0.00708118557899695,0,0
1985-04-01,US,0.300000000000011,0.00987486640399027,0,0.0999999999999996
1985-05-01,US,0.399999999999991,0.0289488388680041,-0.19,-0.0999999999999996
1985-06-01,US,0.299999999999997,0.0452476380140041,-0.31,0.2
1985-07-01,US,0.300000000000011,0.0490229810059901,0,0
1985-08-01,US,0.399999999999991,0.0374519496400012,0,-0.300000000000001
1985-09-01,US,0.200000000000003,0.014274641334012,0,0
1985-10-01,US,0.5,-0.009464805809003,0,0
1985-11-01,US,0.599999999999994,-0.0290128797840055,0,-0.0999999999999996
1985-12-01,US,0.300000000000011,-0.0442111153149938,0,0
1986-01-01,US,0.5,-0.0580682933399999,0,-0.3
1986-02-01,US,0.299999999999997,-0.0717396506720007,0,0.5
1986-03-01,US,0.299999999999997,-0.0835239932820002,-0.4,0
1986-04-01,US,0.400000000000006,-0.0878799984210019,-0.27,-0.100000000000001
1986-05-01,US,0.199999999999989,-0.0839789271689995,-0.33,0.100000000000001
1986-06-01,US,0.300000000000011,-0.0752816208439953,0,0
1986-07-01,US,0.399999999999991,-0.0697063339240032,-0.34,-0.2
1986-08-01,US,0.400000000000006,-0.0700965582890092,-0.34,-0.0999999999999996
1986-09-01,US,0.399999999999991,-0.0746044963469927,-0.32,0.0999999999999996
1986-10-01,US,0.400000000000006,-0.0766375161230002,0,0
1986-11-01,US,0.299999999999997,-0.0726037909119981,0,-0.0999999999999996
1986-12-01,US,0.299999999999997,-0.0616520498001023,0,-0.300000000000001
1987-01-01,US,0.300000000000011,-0.0458404342717955,0,0
1987-02-01,US,0.299999999999997,-0.0266536121986007,0,0
1987-03-01,US,0.399999999999991,-0.0060518811730077,0,0
1987-04-01,US,0.700000000000003,0.012238732794799,0,-0.3
1987-05-01,US,0.400000000000006,0.0280023669026974,0,0
1987-06-01,US,0.200000000000003,0.0432778121717092,0,-0.0999999999999996
1987-07-01,US,0.399999999999991,0.0612985146013045,0,-0.100000000000001
1987-08-01,US,0.400000000000006,0.0815395887339889,0,-0.0999999999999996
1987-09-01,US,0.5,0.098505358555002,0.45,-0.0999999999999996
1987-10-01,US,0.599999999999994,0.100336591423996,0.0499999999999998,0.0999999999999996
1987-11-01,US,0.299999999999997,0.0845796438410105,0,-0.2
1987-12-01,US,0.300000000000011,0.0581187348740002,0,-0.0999999999999996
1988-01-01,US,0.5,0.0383522996679915,0,0
1988-02-01,US,0.299999999999997,0.031888397062005,0,0
1988-03-01,US,0.5,0.0360706332549938,0,0
1988-04-01,US,0.599999999999994,0.0395928333980038,0,-0.3
1988-05-01,US,0.400000000000006,0.0382098968310061,0,0.199999999999999
1988-06-01,US,0.5,0.0345757058990017,0,-0.199999999999999
1988-07-01,US,0.399999999999991,0.0384390162809893,0,0
1988-08-01,US,0.400000000000006,0.0528879339190098,0.37,0.199999999999999
1988-09-01,US,0.700000000000003,0.0742344375889985,0.13,-0.199999999999999
1988-10-01,US,0.5,0.0911229761499897,0,0
1988-11-01,US,0.399999999999991,0.098047196924,0,-0.100000000000001
1988-12-01,US,0.400000000000006,0.0942453561430057,0,0
1989-01-01,US,0.5,0.0833337942909935,0,0.100000000000001
1989-02-01,US,0.400000000000006,0.0677511848680013,0.0899999999999999,-0.2
1989-03-01,US,0.5,0.0496766882820054,0.41,-0.2
1989-04-01,US,0.399999999999991,0.0322831507079968,0,0.2
1989-05-01,US,0.500000000000014,0.0163014152849996,0,0
1989-06-01,US,0.5,0.00142120502800935,0,0.0999999999999996
1989-07-01,US,0.399999999999977,-0.0124048351120081,0,-0.0999999999999996
1989-08-01,US,0.300000000000011,-0.0240713931620036,0,0
1989-09-01,US,0.400000000000006,-0.0301798037649945,0,0.0999999999999996
1989-10-01,US,0.699999999999989,-0.0240606086800028,0,0
1989-11-01,US,0.5,-0.00596806481799206,0,0.100000000000001
1989-12-01,US,0.5,0.0166730926229945,0,0
1990-01-01,US,0.5,0.0281217735350054,0,0
1990-02-01,US,0.599999999999994,0.0207474644809906,0,-0.100000000000001
1990-03-01,US,0.800000000000011,-0.00570363820600051,0,-0.0999999999999996
1990-04-01,US,0.5,-0.0434742154489953,0,0.2
1990-05-01,US,0.400000000000006,-0.0892072109670039,0,0
1990-06-01,US,0.699999999999989,-0.141129005419998,0,-0.2
